Date,Temperature_C,Relative_Humidity,Solar_Radiation_MJ,Wind_Speed_ms,ET0_mm,Heat_Index_F,Month,Day_of_Year,Year,Source,Location,Plot ID,Treatment Type,ExG,Total Soil Moisture,Irrigation Added (gallons),Rainfall (gallons),ET0 (mm),Heat Index (F),Kc (Crop Coefficient),Canopy Cover (CC),Kc (Crop Coeffecient)
1998-01-01 00:00:00,18.808333333333337,85.24291666666666,259.71840000000003,4.404166666666667,37.42412640369759,65.855,1.0,1.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-02 00:00:00,20.295833333333334,87.42666666666666,235.0944,5.216666666666667,33.530254825268315,68.5325,1.0,2.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-03 00:00:00,20.633333333333336,89.81541666666668,149.9904,4.266666666666667,23.128853061970386,69.14000000000001,1.0,3.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-04 00:00:00,21.20416666666667,92.61833333333334,237.6,3.9500000000000006,37.43523811919582,70.1675,1.0,4.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-05 00:00:00,21.20416666666667,93.63666666666668,175.65120000000002,3.670833333333334,28.283379284976213,70.1675,1.0,5.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-06 00:00:00,20.483333333333334,96.82333333333332,170.3808,2.9083333333333337,28.33313795666552,68.87,1.0,6.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-07 00:00:00,12.520833333333334,72.74583333333334,284.1696,5.545833333333333,31.014522974500764,54.5375,1.0,7.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-08 00:00:00,12.158333333333331,60.274166666666666,393.2064,3.7916666666666665,48.461731539311565,53.885000000000005,1.0,8.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-09 00:00:00,15.675,76.78,338.4288,3.0124999999999997,49.51420727274116,60.215,1.0,9.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-10 00:00:00,18.775,87.85375,359.9424,3.4125,55.22016169064615,65.795,1.0,10.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-11 00:00:00,20.091666666666665,91.69875,237.6,4.366666666666667,35.30512672336556,68.16499999999999,1.0,11.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-12 00:00:00,19.6125,95.92166666666668,195.8688,1.7583333333333335,35.137621287500345,67.30250000000001,1.0,12.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-13 00:00:00,17.925,90.81125,125.7984,3.545833333333334,18.904672151364046,64.265,1.0,13.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-14 00:00:00,15.85,85.18083333333333,165.45600000000002,3.0250000000000004,24.468753051685148,60.53,1.0,14.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-15 00:00:00,12.645833333333334,66.15875,408.672,4.145833333333333,49.45355889417861,54.7625,1.0,15.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-16 00:00:00,15.754166666666668,71.3125,402.624,3.2583333333333333,57.904371445081864,60.3575,1.0,16.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-17 00:00:00,15.829166666666667,88.46291666666667,344.8224,2.3375,53.29800399852182,60.49250000000001,1.0,17.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-18 00:00:00,17.995833333333334,84.31875000000001,247.8816,2.983333333333334,38.85729990526148,64.3925,1.0,18.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-19 00:00:00,12.495833333333332,78.29083333333334,409.2768,3.3375000000000004,52.19460109919437,54.49249999999999,1.0,19.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-20 00:00:00,18.291666666666668,90.7075,230.688,4.029166666666667,33.378370997620614,64.92500000000001,1.0,20.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-21 00:00:00,20.508333333333333,92.53625,194.7456,3.5750000000000006,31.016123624907067,68.91499999999999,1.0,21.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-22 00:00:00,12.65,87.62333333333333,65.92320000000001,5.116666666666667,7.797035607145507,54.77,1.0,22.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-23 00:00:00,10.908333333333331,72.52041666666666,412.6464,2.558333333333333,53.86241939138465,51.635000000000005,1.0,23.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-24 00:00:00,11.895833333333334,71.53166666666667,412.8192,2.5541666666666667,55.787867118885664,53.4125,1.0,24.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-25 00:00:00,16.7625,80.76208333333334,94.5216,3.7625000000000006,14.163740863448476,62.1725,1.0,25.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-26 00:00:00,16.429166666666667,69.94833333333334,402.5376,3.829166666666667,56.59791242806019,61.572500000000005,1.0,26.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-27 00:00:00,13.516666666666667,61.16583333333333,439.8624,2.075,65.9061259024273,56.33,1.0,27.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
1998-01-28 00:00:00,16.479166666666668,76.23291666666667,426.7296,3.108333333333334,63.2069311424859,61.6625,1.0,28.0,1998.0,Weather_Station,Corpus_Christi,,,,,,,,,,,
