Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,686934,-,-,-,27.77,-97.42,-6,16,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.1.dev11+g50a59bd
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Surface Albedo,Wind Speed,GHI
2002,1,1,0,30,7.800000000000001,79.51,0.16,4.800000000000001,0
2002,1,1,1,30,7.5,80.87,0.16,4.9,0
2002,1,1,2,30,7.2,81.9,0.16,5.1000000000000005,0
2002,1,1,3,30,7,82.18,0.16,5.2,0
2002,1,1,4,30,6.800000000000001,82.5,0.16,5.300000000000001,0
2002,1,1,5,30,6.800000000000001,82.31,0.16,5.300000000000001,0
2002,1,1,6,30,6.9,82.16,0.16,5,0
2002,1,1,7,30,7.1000000000000005,82.06,0.16,4.9,4
2002,1,1,8,30,7.5,80.65,0.16,4.9,131
2002,1,1,9,30,7.800000000000001,78.99,0.16,5,23
2002,1,1,10,30,7.800000000000001,78.66,0.16,5.2,21
2002,1,1,11,30,7.7,78.5,0.16,5.300000000000001,178
2002,1,1,12,30,7.6000000000000005,78.01,0.16,5.300000000000001,259
2002,1,1,13,30,7.7,76.60000000000001,0.16,5.2,129
2002,1,1,14,30,7.9,75.22,0.16,5,108
2002,1,1,15,30,7.800000000000001,75.48,0.16,5,75
2002,1,1,16,30,7.5,76.84,0.16,4.800000000000001,46
2002,1,1,17,30,7.1000000000000005,78.98,0.16,4.6000000000000005,17
2002,1,1,18,30,6.9,79.82000000000001,0.16,4.4,0
